iter	Passed	Remaining
0	149	149021
1	153	76588
2	159	52895
3	165	41103
4	169	33697
5	173	28737
6	180	25588
7	182	22662
8	184	20302
9	185	18413
10	191	17202
11	193	15907
12	195	14834
13	198	13991
14	202	13290
15	204	12588
16	206	11948
17	208	11369
18	210	10862
19	212	10399
20	215	10037
21	217	9661
22	219	9318
23	221	8988
24	223	8699
25	227	8507
26	229	8254
27	230	8017
28	232	7787
29	234	7593
30	237	7408
31	238	7229
32	240	7054
33	242	6889
34	244	6748
35	246	6598
36	252	6575
37	254	6437
38	255	6306
39	258	6198
40	261	6119
41	263	6011
42	265	5904
43	266	5799
44	269	5709
45	270	5614
46	274	5572
47	276	5483
48	278	5398
49	280	5324
50	281	5246
51	287	5244
52	289	5170
53	291	5101
54	293	5036
55	294	4971
56	300	4976
57	302	4919
58	305	4865
59	306	4805
60	311	4796
61	313	4739
62	315	4690
63	317	4637
64	318	4585
65	321	4543
66	323	4508
67	324	4454
68	326	4406
69	328	4360
70	330	4329
71	332	4291
72	336	4272
73	338	4230
74	339	4189
75	341	4157
76	343	4121
77	348	4121
78	350	4088
79	352	4052
80	354	4019
81	356	3992
82	360	3985
83	362	3956
84	363	3917
85	365	3885
86	367	3852
87	369	3825
88	373	3823
89	375	3797
90	377	3772
91	379	3743
92	381	3721
93	389	3749
94	391	3728
95	400	3769
96	408	3799
97	413	3804
98	415	3778
99	417	3754
100	420	3740
101	424	3738
102	427	3722
103	429	3704
104	434	3699
105	438	3696
106	449	3748
107	456	3768
108	469	3836
109	472	3826
110	478	3831
111	482	3823
112	484	3803
113	492	3830
114	495	3810
115	502	3826
116	505	3812
117	507	3794
118	509	3773
119	514	3770
120	517	3757
121	520	3742
122	522	3724
123	532	3764
124	536	3755
125	539	3740
126	541	3724
127	546	3720
128	548	3702
129	550	3683
130	553	3669
131	555	3654
132	561	3657
133	564	3646
134	568	3641
135	573	3640
136	579	3648
137	581	3630
138	583	3615
139	589	3619
140	591	3604
141	594	3589
142	601	3602
143	604	3591
144	610	3602
145	613	3591
146	618	3586
147	625	3598
148	627	3584
149	629	3568
150	640	3599
151	645	3599
152	649	3596
153	652	3581
154	653	3563
155	655	3546
156	657	3529
157	661	3525
158	663	3509
159	665	3492
160	666	3474
161	668	3457
162	670	3442
163	672	3429
164	674	3413
165	676	3399
166	678	3383
167	679	3367
168	684	3365
169	686	3351
170	688	3336
171	689	3320
172	691	3307
173	696	3304
174	698	3292
175	700	3278
176	702	3265
177	704	3253
178	710	3259
179	712	3247
180	713	3230
181	715	3216
182	718	3208
183	724	3211
184	726	3199
185	728	3186
186	730	3176
187	732	3164
188	736	3162
189	739	3150
190	740	3137
191	742	3124
192	744	3111
193	746	3103
194	748	3090
195	750	3078
196	752	3068
197	754	3057
198	756	3044
199	759	3037
200	761	3026
201	763	3014
202	764	3002
203	766	2991
204	770	2988
205	772	2978
206	774	2968
207	776	2957
208	778	2947
209	781	2939
210	783	2931
211	785	2920
212	787	2909
213	789	2899
214	791	2888
215	794	2884
216	796	2874
217	798	2864
218	801	2857
219	802	2846
220	805	2837
221	806	2827
222	808	2818
223	811	2810
224	813	2800
225	816	2797
226	818	2786
227	820	2776
228	822	2768
229	824	2758
230	829	2761
231	831	2753
232	834	2748
233	836	2738
234	841	2740
235	843	2730
236	845	2720
237	847	2713
238	849	2703
239	851	2697
240	853	2688
241	855	2678
242	857	2670
243	859	2661
244	860	2652
245	862	2644
246	864	2635
247	866	2628
248	868	2619
249	869	2609
250	871	2601
251	873	2592
252	875	2584
253	877	2577
254	884	2582
255	886	2577
256	889	2570
257	891	2563
258	893	2557
259	895	2549
260	898	2544
261	900	2536
262	903	2530
263	904	2522
264	907	2518
265	910	2511
266	911	2503
267	913	2495
268	915	2489
269	920	2488
270	923	2483
271	925	2476
272	928	2472
273	931	2466
274	932	2459
275	936	2456
276	942	2459
277	945	2455
278	947	2449
279	949	2442
280	951	2435
281	953	2428
282	956	2422
283	998	2516
284	1000	2510
285	1003	2504
286	1007	2502
287	1009	2494
288	1011	2488
289	1013	2480
290	1017	2479
291	1020	2473
292	1042	2514
293	1044	2507
294	1050	2510
295	1053	2505
296	1054	2497
297	1056	2489
298	1059	2483
299	1061	2477
300	1064	2471
301	1066	2463
302	1067	2455
303	1070	2450
304	1072	2443
305	1076	2441
306	1078	2433
307	1079	2425
308	1081	2419
309	1083	2411
310	1087	2409
311	1089	2402
312	1091	2394
313	1093	2389
314	1095	2382
315	1099	2380
316	1101	2373
317	1103	2366
318	1105	2359
319	1107	2352
320	1110	2349
321	1112	2342
322	1114	2335
323	1116	2329
324	1118	2322
325	1121	2317
326	1123	2312
327	1125	2306
328	1128	2300
329	1129	2293
330	1131	2286
331	1133	2280
332	1136	2276
333	1139	2271
334	1140	2264
335	1142	2257
336	1144	2251
337	1147	2247
338	1149	2242
339	1151	2236
340	1153	2230
341	1155	2223
342	1157	2216
343	1160	2212
344	1161	2205
345	1163	2199
346	1165	2193
347	1167	2187
348	1169	2181
349	1173	2179
350	1175	2172
351	1177	2167
352	1179	2161
353	1180	2154
354	1185	2153
355	1186	2147
356	1189	2141
357	1190	2135
358	1192	2129
359	1195	2125
360	1198	2120
361	1200	2115
362	1201	2109
363	1203	2102
364	1205	2098
365	1208	2093
366	1210	2088
367	1212	2082
368	1214	2076
369	1216	2070
370	1219	2066
371	1222	2064
372	1224	2058
373	1226	2052
374	1228	2046
375	1229	2041
376	1233	2038
377	1235	2033
378	1237	2027
379	1239	2021
380	1240	2015
381	1242	2009
382	1247	2009
383	1248	2003
384	1250	1998
385	1253	1993
386	1254	1987
387	1257	1982
388	1261	1980
389	1262	1975
390	1264	1969
391	1266	1963
392	1267	1958
393	1272	1957
394	1274	1951
395	1276	1946
396	1278	1942
397	1280	1936
398	1284	1935
399	1286	1929
400	1288	1925
401	1290	1919
402	1292	1914
403	1295	1911
404	1297	1906
405	1299	1901
406	1301	1896
407	1302	1890
408	1305	1886
409	1307	1882
410	1309	1876
411	1311	1871
412	1313	1866
413	1315	1861
414	1317	1857
415	1321	1854
416	1323	1850
417	1325	1845
418	1327	1840
419	1328	1835
420	1331	1831
421	1335	1829
422	1337	1824
423	1339	1819
424	1341	1814
425	1343	1810
426	1348	1809
427	1350	1804
428	1352	1800
429	1354	1795
430	1359	1794
431	1361	1789
432	1362	1784
433	1365	1780
434	1366	1775
435	1369	1770
436	1371	1767
437	1373	1761
438	1375	1757
439	1377	1752
440	1379	1748
441	1383	1746
442	1385	1741
443	1387	1737
444	1389	1732
445	1391	1727
446	1394	1724
447	1395	1719
448	1398	1715
449	1399	1710
450	1401	1706
451	1405	1704
452	1407	1699
453	1409	1695
454	1411	1690
455	1413	1685
456	1414	1680
457	1417	1677
458	1419	1673
459	1421	1668
460	1423	1663
461	1425	1659
