iter	Passed	Remaining
0	142	142690
1	144	72251
2	146	48666
3	147	36843
4	149	29770
5	152	25202
6	157	22404
7	160	19850
8	161	17836
9	163	16231
10	165	14889
11	167	13763
12	170	12958
13	173	12219
14	176	11569
15	177	10932
16	179	10408
17	182	9980
18	185	9572
19	186	9160
20	188	8805
21	190	8467
22	192	8161
23	193	7882
24	195	7617
25	198	7430
26	200	7211
27	201	6999
28	203	6816
29	205	6646
30	207	6484
31	209	6323
32	210	6174
33	214	6080
34	215	5944
35	217	5815
36	218	5695
37	220	5581
38	222	5470
39	223	5364
40	225	5262
41	228	5204
42	229	5113
43	231	5024
44	233	4950
45	234	4870
46	236	4793
47	237	4719
48	239	4648
49	242	4601
50	243	4536
51	245	4472
52	246	4410
53	249	4364
54	250	4306
55	252	4253
56	253	4199
57	256	4160
58	258	4116
59	259	4066
60	261	4019
61	262	3978
62	264	3934
63	266	3890
64	267	3848
65	269	3807
66	272	3788
67	273	3750
68	275	3713
69	277	3686
70	279	3655
71	280	3619
72	282	3585
73	283	3552
74	287	3543
75	288	3513
76	291	3498
77	293	3471
78	295	3441
79	296	3412
80	298	3384
81	300	3367
82	301	3334
83	303	3307
84	304	3282
85	306	3260
86	308	3235
87	309	3210
88	311	3186
89	312	3162
90	315	3151
91	317	3129
92	318	3110
93	320	3091
94	322	3069
95	323	3048
96	325	3026
97	326	3006
98	328	2986
99	330	2978
100	332	2961
101	334	2942
102	335	2925
103	337	2907
104	339	2890
105	340	2872
106	342	2854
107	344	2843
108	346	2833
109	348	2819
110	350	2805
111	351	2789
112	353	2773
113	354	2757
114	356	2742
115	358	2734
116	360	2720
117	362	2706
118	363	2691
119	365	2679
120	366	2665
121	368	2649
122	369	2635
123	371	2622
124	375	2625
125	377	2616
126	378	2601
127	380	2592
128	382	2583
129	384	2574
130	386	2566
131	391	2573
132	393	2563
133	395	2556
134	397	2546
135	398	2534
136	400	2522
137	402	2513
138	405	2510
139	406	2498
140	408	2487
141	409	2474
142	411	2463
143	412	2453
144	414	2442
145	415	2432
146	417	2422
147	419	2416
148	421	2405
149	422	2396
150	424	2387
151	426	2378
152	427	2368
153	429	2361
154	431	2351
155	433	2345
156	434	2335
157	436	2325
158	438	2318
159	439	2309
160	440	2298
161	442	2291
162	444	2282
163	447	2282
164	449	2274
165	450	2265
166	452	2256
167	454	2248
168	455	2241
169	457	2235
170	459	2228
171	462	2227
172	464	2219
173	465	2210
174	467	2203
175	468	2195
176	470	2188
177	472	2181
178	473	2173
179	476	2172
180	478	2165
181	480	2157
182	482	2152
183	483	2145
184	485	2140
185	487	2132
186	489	2126
187	491	2124
188	493	2118
189	495	2111
190	497	2106
191	499	2100
192	501	2095
193	502	2089
194	504	2083
195	508	2084
